regionName	Date	GovernmentResponseIndex
Connecticut	09-2021	39.06250000000001
Connecticut	10-2021	39.06250000000001
Connecticut	11-2021	35.93750000000001
Connecticut	12-2021	39.06250000000001
Delaware	01-2020	0.0
Delaware	02-2020	13.020833333333334
Delaware	03-2020	44.79166666666667
Delaware	04-2020	69.27083333333334
Delaware	05-2020	77.60416666666667
Delaware	06-2020	70.31250000000001
Delaware	07-2020	70.3125
Delaware	08-2020	65.10416666666666
Delaware	09-2020	58.854166666666664
Delaware	10-2020	59.895833333333336
Delaware	11-2020	58.854166666666664
Delaware	12-2020	66.66666666666667
Delaware	01-2021	65.83333333333333
Delaware	02-2021	60.31250000000001
Delaware	03-2021	60.31250000000001
Delaware	04-2021	61.97916666666667
Delaware	05-2021	64.0625
Delaware	06-2021	56.25000000000001
Delaware	07-2021	45.833333333333336
Delaware	08-2021	45.833333333333336
Delaware	09-2021	44.79166666666667
Delaware	10-2021	44.79166666666667
Delaware	11-2021	41.66666666666667
Delaware	12-2021	44.79166666666667
Florida	01-2020	0.0
Florida	02-2020	9.895833333333334
Florida	03-2020	44.79166666666667
Florida	04-2020	72.39583333333334
Florida	05-2020	69.79166666666667
Florida	06-2020	65.625
Florida	07-2020	69.79166666666666
Florida	08-2020	61.458333333333336
Florida	09-2020	56.77083333333333
Florida	10-2020	40.364583333333336
Florida	11-2020	40.88541666666667
Florida	12-2020	49.895833333333336
Florida	01-2021	53.020833333333336
Florida	02-2021	51.979166666666664
Florida	03-2021	54.479166666666664
Florida	04-2021	52.604166666666664
Florida	05-2021	45.3125
Florida	06-2021	45.3125
Florida	07-2021	45.3125
Florida	08-2021	37.760416666666664
Florida	09-2021	33.072916666666664
Florida	10-2021	33.072916666666664
Florida	11-2021	32.03125
Florida	12-2021	31.770833333333332
Georgia	01-2020	0.0
Georgia	02-2020	9.895833333333334
Georgia	03-2020	30.729166666666668
Georgia	04-2020	68.75
Georgia	05-2020	71.875
Georgia	06-2020	69.27083333333333
Georgia	07-2020	65.10416666666667
Georgia	08-2020	61.97916666666667
Georgia	09-2020	58.07291666666667
Georgia	10-2020	54.94791666666667
Georgia	11-2020	54.94791666666667
Georgia	12-2020	54.94791666666667
Georgia	01-2021	57.44791666666667
Georgia	02-2021	57.44791666666667
Georgia	03-2021	55.78125
Georgia	04-2021	48.69791666666667
Georgia	05-2021	47.13541666666667
Georgia	06-2021	47.13541666666667
Georgia	07-2021	47.13541666666667
Georgia	08-2021	47.13541666666667
Georgia	09-2021	38.802083333333336
Georgia	10-2021	39.84375
Georgia	11-2021	36.71875
Georgia	12-2021	35.15625
Hawaii	01-2020	0.0
Hawaii	02-2020	13.020833333333334
Hawaii	03-2020	23.4375
Hawaii	04-2020	66.66666666666667
Hawaii	05-2020	64.58333333333334
Hawaii	06-2020	65.625
Hawaii	07-2020	66.40625
Hawaii	08-2020	69.53125000000001
Hawaii	09-2020	70.57291666666667
Hawaii	10-2020	70.31250000000001
Hawaii	11-2020	70.31250000000001
